"bedrooms","bathrooms","area","floors","yearbuilt","location","condition","garage","price"
"5","2","3412.0","1","2006","Downtown","Excellent","No","1325000.0"
"5","3","3274.0","1","1978","Downtown","Excellent","No","1335000.0"
"15","9","9941.3","3","2023","Downtown","Excellent","No","5429000.0"
"5","3","4976.0","2","1942","Downtown","Excellent","No","1636000.0"
"1","6","1314.3","2","2023","Downtown","Excellent","No","744000.0"
"12","13","6166.1","2","2023","Downtown","Excellent","No","3522000.0"
"2","2","626.0","1","1966","Downtown","Excellent","No","228000.0"
"2","8","2854.4","5","2019","Downtown","Excellent","No","1553000.0"
"8","1","2178.2","2","1995","Downtown","Excellent","No","999000.0"
"4","5","3073.4","3","2023","Downtown","Excellent","No","1646000.0"
"3","2","605.0","1","1958","Downtown","Excellent","No","279000.0"
"6","20","4669.4","1","2023","Downtown","Excellent","No","2735000.0"
"3","2","3761.0","3","1982","Downtown","Excellent","No","1476000.0"
"15","6","5292.4","1","2022","Downtown","Excellent","No","2999000.0"
"5","3","735.0","3","1987","Downtown","Excellent","No","399000.0"
"3","1","1955.3","1","1990","Downtown","Excellent","No","734000.0"
"5","9","3308.9","2","2006","Downtown","Excellent","No","1634000.0"
"19","9","7213.3","3","2000","Downtown","Excellent","No","3537000.0"
"3","2","2307.5","4","1975","Downtown","Excellent","No","781000.0"
"1","2","1824.0","5","1996","Downtown","Excellent","No","786000.0"
"1","11","1566.0","1","1999","Downtown","Excellent","No","803000.0"
"5","2","840.0","1","1917","Downtown","Excellent","No","359000.0"
"2","11","5005.3","5","2023","Downtown","Excellent","No","2726000.0"
"3","11","2566.5","1","1965","Downtown","Excellent","No","938000.0"
"19","7","10953.8","5","2022","Downtown","Excellent","No","5988000.0"
"1","3","1154.7","3","1978","Downtown","Excellent","No","429000.0"
"2","16","6635.4","5","2021","Downtown","Excellent","No","3581000.0"
"18","3","11500.6","3","1991","Downtown","Excellent","No","4785000.0"
"3","5","2949.8","1","2014","Downtown","Excellent","No","1429000.0"
"19","13","9350.7","1","2017","Downtown","Excellent","No","5063000.0"
"15","10","5842.8","5","1951","Downtown","Excellent","No","2271000.0"
"1","4","2305.5","3","2020","Downtown","Excellent","No","1193000.0"
"1","10","2175.9","2","1992","Downtown","Excellent","No","992000.0"
"19","5","4770.5","4","2015","Downtown","Excellent","No","2741000.0"
"7","17","8878.0","5","2014","Downtown","Excellent","No","4569000.0"
"3","1","1438.2","4","1994","Downtown","Excellent","No","607000.0"
"1","2","1677.1","1","1958","Downtown","Excellent","No","507000.0"
"20","8","14447.3","4","1961","Downtown","Excellent","No","4947000.0"
"6","6","3895.6","3","1996","Downtown","Excellent","No","1728000.0"
"5","4","1461.0","2","1985","Downtown","Excellent","No","785000.0"
"12","13","10004.2","3","1962","Downtown","Excellent","No","3478000.0"
"8","6","6181.6","5","2000","Downtown","Excellent","No","2812000.0"
"5","3","4419.0","2","1919","Downtown","Excellent","No","1748000.0"
"17","17","8627.8","2","2015","Downtown","Excellent","No","4690000.0"
"2","4","741.0","3","1947","Downtown","Excellent","No","325000.0"
"8","11","4649.9","1","2021","Downtown","Excellent","No","2578000.0"
"2","3","3851.0","2","2008","Downtown","Excellent","No","1551000.0"
"3","13","4786.9","3","1941","Downtown","Excellent","No","1676000.0"
"20","19","10300.1","4","2023","Downtown","Excellent","No","5928000.0"
"1","1","2743.0","1","1936","Downtown","Excellent","No","852000.0"
"5","12","5118.4","1","2023","Downtown","Excellent","No","2790000.0"
"4","2","4999.0","1","1967","Downtown","Excellent","No","1594000.0"
